post_id,text,post_text,shared_text,time,image,image_lowquality,images,images_description,images_lowquality,images_lowquality_description,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,user_url,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,available,comments_full,reactors,w3_fb_url
3812150062173433,"Together, we can make a difference. #StopTheSpread","Together, we can make a difference. #StopTheSpread",,2021-04-29 12:49:54,,https://scontent.fbom19-1.fna.fbcdn.net/v/t1.6435-0/cp0/e15/q65/p320x320/178705346_3812138005507972_456459516003487067_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=tIUoeNqz9VgAX_5LX10&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=915e103a13cd21c1ffd0b5b1e5d92390&oe=60C9C8BF,,,['https://scontent.fbom19-1.fna.fbcdn.net/v/t1.6435-0/cp0/e15/q65/p320x320/178705346_3812138005507972_456459516003487067_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=tIUoeNqz9VgAX_5LX10&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=915e103a13cd21c1ffd0b5b1e5d92390&oe=60C9C8BF'],"['May be an image of text that says ""LET\'S STOP THE SPREAD, TOGETHER We are going through trying times and are facing a humanitarian crisis many ways. Together with our communities and partners, we are joining hands to humbly contribute to the nation\'s effort to #StopTheSpread by helping over 10 lakh people across the country. The Coca-Cola System n India pledging an initial contribution of INR 50 crores to facilitate COVID vaccinations, provide safety kits, create awareness and to distribute beverages. Together we can make a difference. Coca-Cola""']",,,,156,36,0,https://facebook.com/cocacolaindia/posts/3812150062173433,,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,"[{'comment_id': '3812209055500867', 'commenter_url': None, 'commenter_name': 'Deepa Dhan', 'commenter_meta': None, 'comment_text': ""Such a great initiative ,let's together stop the spread"", 'comment_time': None}, {'comment_id': '3812205885501184', 'commenter_url': None, 'commenter_name': 'Reena Jain', 'commenter_meta': None, 'comment_text': 'This was much needed initiative.. Kudos to you team for putting such great efforts', 'comment_time': None}, {'comment_id': '3863686467019792', 'commenter_url': None, 'commenter_name': 'Gagandeep Singh', 'commenter_meta': None, 'comment_text': 'saw this pic while doing research on the 36th ID. honestly a Coke has never looked so good, or so well deserved', 'comment_time': datetime.datetime(2021, 5, 16, 0, 0)}, {'comment_id': '3812281065493666', 'commenter_url': None, 'commenter_name': 'Priya Shah', 'commenter_meta': None, 'comment_text': ""Let's join hands for this wow initiative"", 'comment_time': None}, {'comment_id': '3812209015500871', 'commenter_url': None, 'commenter_name': 'Pintu Sadhukhan', 'commenter_meta': None, 'comment_text': 'kudos dear team for such great initiative #stopthespread', 'comment_time': None}, {'comment_id': '3812193918835714', 'commenter_url': None, 'commenter_name': 'Kuhely Koley', 'commenter_meta': None, 'comment_text': 'Commendable initiative during thid time', 'comment_time': None}, {'comment_id': '3812224465499326', 'commenter_url': None, 'commenter_name': 'Fathima', 'commenter_meta': None, 'comment_text': 'Together we can #StopTheSpread. Great initiative', 'comment_time': None}, {'comment_id': '3812235115498261', 'commenter_url': None, 'commenter_name': 'Amit Shaw', 'commenter_meta': None, 'comment_text': 'This is truly great movement to stop the spread of corona.', 'comment_time': None}, {'comment_id': '3812204365501336', 'commenter_url': None, 'commenter_name': 'Naina Wadhvani', 'commenter_meta': None, 'comment_text': 'Wow really great news for everyone, #StopTheSpread is very must', 'comment_time': None}, {'comment_id': '3863688880352884', 'commenter_url': None, 'commenter_name': 'Gagandeep Singh', 'commenter_meta': None, 'comment_text': 'More old coke photos i hv', 'comment_time': datetime.datetime(2021, 5, 16, 0, 0)}, {'comment_id': '3812252168829889', 'commenter_url': None, 'commenter_name': 'Nirav Mota', 'commenter_meta': None, 'comment_text': 'Yes we can together #StopTheSpread. Superb initiative', 'comment_time': None}, {'comment_id': '3812195162168923', 'commenter_url': None, 'commenter_name': 'Aman Kahar', 'commenter_meta': None, 'comment_text': 'This is really an amazing effort to help people in this difficult times', 'comment_time': None}, {'comment_id': '3812254908829615', 'commenter_url': None, 'commenter_name': 'Akshita Bharat', 'commenter_meta': None, 'comment_text': 'Amazed with the work and step being initiated.', 'comment_time': None}, {'comment_id': '3812246598830446', 'commenter_url': None, 'commenter_name': 'Thara Gopalan', 'commenter_meta': None, 'comment_text': 'Yes indeed we shall emerge stronger.', 'comment_time': None}, {'comment_id': '3812214085500364', 'commenter_url': None, 'commenter_name': 'Vidhya Mandal', 'commenter_meta': None, 'comment_text': 'Great step team. #stoptuespread', 'comment_time': None}, {'comment_id': '3812491028806003', 'commenter_url': None, 'commenter_name': 'Manan Wadhwani', 'commenter_meta': None, 'comment_text': ""It's really needed to #StopTheSpread and everyone should be happy for it."", 'comment_time': None}, {'comment_id': '3812250122163427', 'commenter_url': None, 'commenter_name': 'Ivi Roy', 'commenter_meta': None, 'comment_text': 'This is really a great step.Cheering di energy restock.', 'comment_time': None}, {'comment_id': '3812282025493570', 'commenter_url': None, 'commenter_name': 'Gowthaman MG', 'commenter_meta': None, 'comment_text': 'Brilliant initiative, join together to stop the spread', 'comment_time': None}, {'comment_id': '3815233341865105', 'commenter_url': None, 'commenter_name': 'Malavika Rao', 'commenter_meta': None, 'comment_text': 'you knw what I drink only one coca cola in 2020 n same in 2021😥 I avoiding it but when virus will be no more than I will drink 🤗❤', 'comment_time': None}, {'comment_id': '3812194048835701', 'commenter_url': None, 'commenter_name': 'Shibam Dutta', 'commenter_meta': None, 'comment_text': 'Thanks team for this great effort', 'comment_time': None}, {'comment_id': '3812219538833152', 'commenter_url': None, 'commenter_name': 'Chandan Kumar', 'commenter_meta': None, 'comment_text': 'This is great to have such an amazing to take on with this', 'comment_time': None}, {'comment_id': '3812192828835823', 'commenter_url': None, 'commenter_name': 'Abhijit Karmakar', 'commenter_meta': None, 'comment_text': 'Such a great step', 'comment_time': None}, {'comment_id': '3812227395499033', 'commenter_url': None, 'commenter_name': 'Yugandhara Queen', 'commenter_meta': None, 'comment_text': 'Everyone need to be join this initaitve', 'comment_time': None}, {'comment_id': '3858993164155789', 'commenter_url': None, 'commenter_name': 'Safik Purkait', 'commenter_meta': None, 'comment_text': 'Safik Purkait', 'comment_time': datetime.datetime(2021, 5, 14, 0, 0)}, {'comment_id': '3812223335499439', 'commenter_url': None, 'commenter_name': 'Pooja Garg', 'commenter_meta': None, 'comment_text': 'Yes very noble indeed. Thank you', 'comment_time': None}, {'comment_id': '3812188455502927', 'commenter_url': None, 'commenter_name': 'Karan Yadav', 'commenter_meta': None, 'comment_text': 'This is really a tremendous effort', 'comment_time': None}, {'comment_id': '3812198038835302', 'commenter_url': None, 'commenter_name': 'Abhimanyu Shaw', 'commenter_meta': None, 'comment_text': ""It's really fantastic work"", 'comment_time': None}, {'comment_id': '3812174432170996', 'commenter_url': None, 'commenter_name': 'Deepak Jha', 'commenter_meta': None, 'comment_text': 'Good one', 'comment_time': None}, {'comment_id': '3844626792259093', 'commenter_url': None, 'commenter_name': 'Sri Pallavi', 'commenter_meta': None, 'comment_text': '111', 'comment_time': datetime.datetime(2021, 5, 12, 0, 35, 12, 424563)}, {'comment_id': '3842616585793447', 'commenter_url': None, 'commenter_name': 'Harsh Mehta', 'commenter_meta': None, 'comment_text': 'Coco-cola you may change the taste of thumbs up and limca, its looks like water of sevir line🤮\nItna bekar taste ho gaya hai,\nI had complaint also but no one give response ❌❌❌\n\nCoco-cola I will not buy your product again.', 'comment_time': datetime.datetime(2021, 5, 12, 0, 35, 12, 430381), 'replies': [{'comment_id': '3847577185297387', 'commenter_url': None, 'commenter_name': 'Coca-Cola', 'commenter_meta': None, 'comment_text': 'Thanks for writing in. We apologise for the inconvenience caused. With regards to your complaint, please send your detailed complaint with contact information to indiahelpline@c\noca-cola.com and the relevant team will get in touch with you to discuss the same.', 'comment_time': datetime.datetime(2021, 5, 12, 0, 35, 12, 806846)}, {'comment_id': '3847675188620920', 'commenter_url': None, 'commenter_name': 'Harsh Mehta', 'commenter_meta': None, 'comment_text': 'Coca-Cola i had complaint 2 times in coco-cola but they give zero response.', 'comment_time': datetime.datetime(2021, 5, 12, 0, 35, 12, 810749)}]}]",,
3782273445161095,"Break-time matlab Coca-Cola time. Chilled sip lo, re-energise and cheer on! 😎💯🙌🏻 #CricketWithCoke #PBKS #SaddaPunjab
Buy now - http://spr.ly/6019Gf8uH","Break-time matlab Coca-Cola time. Chilled sip lo, re-energise and cheer on! 😎💯🙌🏻 #CricketWithCoke #PBKS #SaddaPunjab
Buy now - http://spr.ly/6019Gf8uH",,2021-04-18 21:13:51,,,,,[],[None],https://video.fbom19-2.fna.fbcdn.net/v/t42.1790-2/174193819_236439428221003_3425289847912404213_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=JqQWiTt_ZWwAX-CYV5R&_nc_rml=0&_nc_ht=video.fbom19-2.fna&oh=38eb5a382568e762d700fa2e61fa0719&oe=60A434CE,https://scontent.fbom19-2.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/164052202_211907884034228_1069828185057958638_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=OQ52vO4D2GIAX8eZlOF&_nc_ht=scontent.fbom19-2.fna&tp=3&oh=f2dbd41954fc365da70b6e8c2b73a73b&oe=60C972DC,211896574035359,60,3,0,https://facebook.com/cocacolaindia/posts/3782273445161095,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3782079238513849,"Aisi partnership pe dil bola, Coca-Cola. Burrraaaah! 💃💃💃 #CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH","Aisi partnership pe dil bola, Coca-Cola. Burrraaaah! 💃💃💃 #CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH",,2021-04-18 19:54:08,,,,,[],[None],https://video.fbom19-1.fna.fbcdn.net/v/t42.1790-2/172687647_484306602613797_8303712243502787946_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=IjEHMRiuCogAX87woKK&_nc_rml=0&_nc_ht=video.fbom19-1.fna&oh=5325366dfcab880902b81aa966c5312f&oe=60A43637,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/163101038_311298290361015_28626642192142978_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=CVDPVocHHbQAX-1syna&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=033e659c4ae94aa8abf33be25bfcc8fd&oe=60C884B5,311295320361312,74,1,0,https://facebook.com/cocacolaindia/posts/3782079238513849,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3781875141867592,"The Shers are coming! Coca-Cola lao aur ready ho jaao with energy. 😎 😎🙌 🙌 🎉🎉
#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - spr.ly/6019Gf8uH","The Shers are coming! Coca-Cola lao aur ready ho jaao with energy. 😎 😎🙌 🙌 🎉🎉
#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - spr.ly/6019Gf8uH",,2021-04-18 18:20:47,,,,,[],[None],https://video.fbom19-1.fna.fbcdn.net/v/t42.1790-2/174631760_1417930265241280_5507933473830350653_n.mp4?_nc_cat=105&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=rIc_DLAUTPwAX9zwKLD&_nc_rml=0&_nc_ht=video.fbom19-1.fna&oh=0b59955567db14c6252d42499acd59ec&oe=60A42FE9,https://scontent.fbom19-2.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/157787262_279674120325488_4501710700464719096_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=zdhi7yE46LQAX-l8AUV&_nc_ht=scontent.fbom19-2.fna&tp=3&oh=1723f3888e8c4d858f7102f111ee7663&oe=60C943C1,279672743658959,44,4,0,https://facebook.com/cocacolaindia/posts/3781875141867592,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3776589515729488,"Jab game hai lit to break time ka josh bhi ho hit! Raise the cheer with Coca-Cola. 😎🙌🏻💃 #CricketWithCoke
Buy now - http://spr.ly/6019Gf8uH","Jab game hai lit to break time ka josh bhi ho hit! Raise the cheer with Coca-Cola. 😎🙌🏻💃 #CricketWithCoke
Buy now - http://spr.ly/6019Gf8uH",,2021-04-16 20:58:58,,,,,[],[None],https://video.fbom19-2.fna.fbcdn.net/v/t42.1790-2/174251951_2812089665697101_3764883093253587082_n.mp4?_nc_cat=110&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=qbBygtWwTNUAX8SQk0F&_nc_rml=0&_nc_ht=video.fbom19-2.fna&oh=8d198e59e1bb999c8c9c0c2cbf9b4e99&oe=60A431D8,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/166249078_1111427752671487_8819987694192847003_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=w7YfODEQsxsAX9VS4oY&_nc_oc=AQkU0c9BaX7rBYPIx-8Aq5gP51arlwJ8EpWFGicZfa_O6IyWxLF7Dv5IZOjrwJ5F0_M&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=73275bab4952bee09901eaef1639134d&oe=60C8EAEA,1111427476004848,69,1,0,https://facebook.com/cocacolaindia/posts/3776589515729488,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3776172239104549,"Another day. Another chance to turn up the match. Here’s to the Kings! 👏🏻🙌🏻🕺 #CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH

COKE2HOME.COM
Turn Up your Match","Another day. Another chance to turn up the match. Here’s to the Kings! 👏🏻🙌🏻🕺 #CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH","COKE2HOME.COM
Turn Up your Match",2021-04-16 18:00:58,,,,,[],[None],https://scontent.fbom19-2.fna.fbcdn.net/v/t42.1790-4/172590535_360333045360662_6946452973652990591_n.mp4?_nc_cat=104&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=emwQITX8Z4kAX9CcvlP&_nc_ht=scontent.fbom19-2.fna&oh=b0769b5b5ddcda5582259b0752e13eaa&oe=60A434A5,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/161145042_564892494486436_6791920242567820294_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=PYLSQb09gT8AX-0rPKj&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=628b5243814d2cdfcca641d578125f47&oe=60CA4243,564889707820048,55,1,0,https://facebook.com/cocacolaindia/posts/3776172239104549,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3765572100164563,"Won like a BOSS and we’re just getting started! Party mode ON. 🙌🏻 🙌🏻 🤩😎#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings

Buy now - http://spr.ly/6019Gf8uH","Won like a BOSS and we’re just getting started! Party mode ON. 🙌🏻 🙌🏻 🤩😎#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings

Buy now - http://spr.ly/6019Gf8uH",,2021-04-13 00:07:32,,,,,[],[None],https://video.fbom19-2.fna.fbcdn.net/v/t42.1790-2/172680111_2763650707232313_2872384720093970822_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=f7kNAr3dJ24AX8rWTHN&_nc_rml=0&_nc_ht=video.fbom19-2.fna&oh=6a13045977e2b0033996293f99adcb4e&oe=60A435D7,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/170122590_817618675842268_3233233019133449387_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=TA_E5ffPAQ0AX-25tJ_&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=75166911aed579d49e9bcc2a6209eab5&oe=60C8B704,817618382508964,38,2,0,https://facebook.com/cocacolaindia/posts/3765572100164563,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3764826440239129,"The day is finally here! Take the excitement up a notch of watching the Shers roaring with Coca-Cola. 👏🏻🙌🏻🕺
#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH

COKE2HOME.COM
Coca-Cola | IPL 2021","The day is finally here! Take the excitement up a notch of watching the Shers roaring with Coca-Cola. 👏🏻🙌🏻🕺
#CricketWithCoke #PBKS #SaddaPunjab Punjab Kings
Buy now - http://spr.ly/6019Gf8uH","COKE2HOME.COM
Coca-Cola | IPL 2021",2021-04-12 18:46:24,,,,,[],[None],https://scontent.fbom19-2.fna.fbcdn.net/v/t42.1790-4/171046903_498057011231320_4732954898443235121_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=DwsFgd1deLgAX9gMbOC&_nc_ht=scontent.fbom19-2.fna&oh=37f38a02b98509889cfe39b9e0731878&oe=60A430E5,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/160333493_822900804965731_510194272095554466_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=j7Cr4SNmJzEAX9cSvjV&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=3c8892ae7e55851231773cdc78558ef6&oe=60CB7B70,822876078301537,79,2,0,https://facebook.com/cocacolaindia/posts/3764826440239129,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3744441212277652,"Turn tasty into delicious with Coca-Cola.
Buy now - http://spr.ly/6019Gf8uH

COKE2HOME.COM
Tastes Better With Coca-Cola","Turn tasty into delicious with Coca-Cola.
Buy now - http://spr.ly/6019Gf8uH","COKE2HOME.COM
Tastes Better With Coca-Cola",2021-04-05 19:19:54,,,,,[],[None],https://scontent.fbom19-2.fna.fbcdn.net/v/t42.1790-4/167623497_278924787053992_2778569103122652975_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=HLOF1fNTHYIAX_03TYs&_nc_ht=scontent.fbom19-2.fna&oh=a43e952575d193dcdd88feb49bc1e335&oe=60A432BE,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/155531149_721535078516579_7591165524980390021_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=D2rA9WRFfw0AX_Y-bn5&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=8cfe5fff495dbd2e812158a3a8803c64&oe=60C97646,721530931850327,476,35,0,https://facebook.com/cocacolaindia/posts/3744441212277652,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
3683675681687539,"Ready to turn family dinners into joyful feasts? Add Coca-Cola and feel the magic.
Buy now - http://spr.ly/6019Gf8uH

COKE2HOME.COM
Turn food into meal with Coca-Cola.","Ready to turn family dinners into joyful feasts? Add Coca-Cola and feel the magic.
Buy now - http://spr.ly/6019Gf8uH","COKE2HOME.COM
Turn food into meal with Coca-Cola.",2021-03-16 20:14:06,,,,,[],[None],https://scontent.fbom19-1.fna.fbcdn.net/v/t42.1790-4/159553717_728164701213069_2806119031074173785_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=L4fCwfUPIuAAX-AiRCI&_nc_ht=scontent.fbom19-1.fna&oh=4ba598e891ab25fa879eb2915e241f1f&oe=60A43755,https://scontent.fbom19-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/147574572_775961996687848_8739332161949239213_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=O0A-ft6wvvcAX9ELeTl&_nc_ht=scontent.fbom19-1.fna&tp=3&oh=22af40e3c38d6ccb63ca2e0bfcc15a0b&oe=60CB296A,775954030021978,85,0,0,https://facebook.com/cocacolaindia/posts/3683675681687539,http://spr.ly/6019Gf8uH,765898450131958,Coca-Cola,https://facebook.com/cocacolaindia/?__tn__=C-R,False,,,,,,,True,,,
